k,run,Nt
1000000,16,935382
50000,17,48093.2
100000,17,95621.4
150000,17,142816
200000,17,189908
250000,17,236654
300000,17,283324
350000,17,329988
399999,17,376748
449999,17,423202
499999,17,469949
549999,17,516665
600000,17,563420
650000,17,610350
700000,17,656830
750000,17,703182
800000,17,749166
850000,17,795785
900000,17,842545
950000,17,889130
1000000,17,935543
50000,18,48133
100000,18,95718.9
150000,18,142803
200000,18,189786
250000,18,236583
300000,18,283204
350000,18,329911
399999,18,376485
449999,18,423338
499999,18,469931
549999,18,516447
600000,18,563054
650000,18,609325
700000,18,655714
750000,18,701976
800000,18,748545
850000,18,794967
900000,18,841333
950000,18,887770
1000000,18,933919
50000,19,47977
100000,19,95495.4
150000,19,142699
200000,19,189736
250000,19,236639
300000,19,283381
350000,19,330269
399999,19,376654
449999,19,423193
499999,19,469668
549999,19,515996
600000,19,562705
650000,19,609244
700000,19,655669
750000,19,701681
800000,19,748035
850000,19,793836
900000,19,840501
950000,19,887196
1000000,19,933254
50000,20,48082.8
100000,20,95669.6
150000,20,142925
200000,20,189881
250000,20,236728
300000,20,283406
350000,20,330085
399999,20,376690
449999,20,423084
499999,20,469804
549999,20,516329
600000,20,562962
650000,20,609264
700000,20,655852
750000,20,702128
800000,20,748778
850000,20,795661
900000,20,842136
950000,20,888640
1000000,20,935458
50000,21,48171.8
100000,21,95740.8
150000,21,142910
200000,21,189762
250000,21,236494
300000,21,283225
350000,21,330082
399999,21,376822
449999,21,423425
499999,21,470219
549999,21,516192
600000,21,562801
650000,21,609597
700000,21,655945
750000,21,702392
800000,21,749143
850000,21,795825
900000,21,842139
950000,21,888703
1000000,21,935260
50000,22,48080.7
100000,22,95571
150000,22,142807
200000,22,189738
250000,22,236575
300000,22,283412
350000,22,329819
399999,22,376414
449999,22,422947
499999,22,469527
549999,22,516184
600000,22,562989
650000,22,609704
700000,22,656187
750000,22,702990
800000,22,749712
850000,22,796156
900000,22,842375
950000,22,888299
1000000,22,935243
50000,23,48026.2
100000,23,95569.9
150000,23,142620
200000,23,189766
250000,23,236656
300000,23,283715
350000,23,330271
399999,23,376805
449999,23,423389
499999,23,469737
549999,23,516554
600000,23,562770
650000,23,609613
700000,23,655895
750000,23,702363
800000,23,748974
850000,23,795349
900000,23,841779
950000,23,888299
1000000,23,934633
50000,24,48055.5
100000,24,95565.5
150000,24,142834
200000,24,189683
250000,24,236498
300000,24,283377
350000,24,330191
399999,24,376962
449999,24,423814
499999,24,470371
549999,24,516899
600000,24,563513
650000,24,610309
700000,24,656577
750000,24,703123
800000,24,750096
850000,24,796877
900000,24,843213
950000,24,889431
1000000,24,935741
50000,25,48179.1
100000,25,95759.4
150000,25,142963
200000,25,189997
250000,25,236877
300000,25,283704
350000,25,330702
399999,25,377462
449999,25,424077
499999,25,470910
549999,25,517389
600000,25,564069
650000,25,610876
700000,25,657507
750000,25,703876
800000,25,750376
850000,25,796971
900000,25,843680
950000,25,890219
1000000,25,936566
50000,26,48099.5
100000,26,95603.8
150000,26,142830
200000,26,189835
250000,26,236696
300000,26,283483
350000,26,330048
399999,26,376769
449999,26,423636
499999,26,470021
549999,26,516662
600000,26,563543
650000,26,609983
700000,26,656424
750000,26,702805
800000,26,749560
850000,26,796071
900000,26,842592
950000,26,889674
1000000,26,936114
50000,27,48098.5
100000,27,95693.7
150000,27,142833
200000,27,190047
250000,27,236952
300000,27,283766
350000,27,330447
399999,27,377162
449999,27,423786
499999,27,470556
549999,27,517151
600000,27,563679
650000,27,610207
700000,27,656750
750000,27,703088
800000,27,749697
850000,27,796308
900000,27,843148
950000,27,889273
1000000,27,935565
50000,28,48113.1
100000,28,95532.6
150000,28,142745
200000,28,189956
250000,28,236860
300000,28,283698
350000,28,330481
399999,28,376987
449999,28,423438
499999,28,470071
549999,28,516976
600000,28,563734
650000,28,610414
700000,28,656701
750000,28,703221
800000,28,749936
850000,28,796385
900000,28,842433
950000,28,888794
1000000,28,935787
50000,29,48082.8
100000,29,95606
150000,29,142983
200000,29,189936
250000,29,236676
300000,29,283427
350000,29,329930
399999,29,376526
449999,29,423109
499999,29,469768
549999,29,516100
600000,29,562686
650000,29,609171
700000,29,655790
750000,29,702363
800000,29,748898
850000,29,795261
900000,29,842003
950000,29,888540
1000000,29,934975
