k,F0,N_est
50000,48037,48012.6
100000,95602,95698.1
150000,142753,142925
200000,189803,189952
250000,236561,236666
300000,283382,283538
350000,330095,330278
399999,376752,376957
449999,423391,423662
499999,469905,470257
549999,516409,516766
600000,563032,563463
650000,609578,609838
700000,656138,656660
750000,702703,703244
800000,749285,749689
850000,795751,796182
900000,842223,842619
950000,888583,888591
1000000,935015,934901
