k,F0,N_est
50000,48037,47668.8
100000,95602,96199.9
150000,142753,141717
200000,189803,188162
250000,236561,236533
300000,283382,283824
350000,330095,334318
399999,376752,382402
449999,423391,430095
499999,469905,479407
549999,516409,524493
600000,563032,579623
650000,609578,628864
700000,656138,672508
750000,702703,714525
800000,749285,759656
850000,795751,796550
900000,842223,851716
950000,888583,900688
1000000,935015,941405
